name,description,price,stock,category,image
Jute Curtain Tie Backs,A set of two natural jute rope curtain tie backs with wooden rings.,29.99,35,Window Treatments,https://images.unsplash.com/photo-1673845749526-0787b858f226?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Tall Standing Planter,A floor-standing planter in matte black powder-coated steel with tapered legs.,94.99,16,Pots & Plants,https://images.unsplash.com/photo-1661916123448-116815d2f40b?q=80&w=988&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Self-Watering Ceramic Planter,A modern self-watering planter in speckled white ceramic with a drainage system.,59.99,22,Pots & Plants,https://images.unsplash.com/photo-1685453628585-2b338030ae64?q=80&w=927&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Woven Seagrass Plant Basket Set,A set of three woven seagrass plant baskets in graduated sizes with handles.,49.99,28,Pots & Plants,https://images.unsplash.com/photo-1730904713929-a08a8f0c80cc?q=80&w=1064&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Window Herb Garden Kit,A three-pot terracotta herb garden kit with a solid wood tray. Grow herbs indoors.,44.99,25,Pots & Plants,https://i5.walmartimages.com/seo/PERFNIQUE-Indoor-Herb-Garden-Garden-Planter-Indoor-Outdoor-Farmhouse-Plant-Pots-Windowsill-Kit-Tray-Window-Pots-Plants-Galvanized_31ffda9b-f09b-481f-9d89-2bafabec8ea0.39bfb8f0b63705fc3d2f193dfc9d06d8.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF
Hanging Glass Terrarium,A geometric hanging glass terrarium for air plants and succulents. Brass frame.,54.99,20,Pots & Plants,https://images.unsplash.com/photo-1669655546865-7ca0c89f3c50?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Bathroom Mirror Cabinet,A wall-mounted bathroom mirror cabinet with LED lighting and two interior shelves.,329.99,7,Bathroom Furniture & Storage,https://images.unsplash.com/photo-1763485956294-407e7388f63b?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Teak Bath Caddy,"A solid teak bath caddy with adjustable width, book rest, and soap dish.",139.99,11,Bathroom Furniture & Storage,https://images.unsplash.com/photo-1700918232124-f64da19e73eb?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Chrome Towel Ladder,A freestanding chrome towel ladder rack. Holds up to four towels. Slim and modern.,109.99,14,Bathroom Furniture & Storage,https://images.unsplash.com/photo-1700922521202-9735ef158f8f?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Compact Bathroom Vanity,"A compact bathroom vanity unit with ceramic basin, two drawers, and chrome taps.",649.99,4,Bathroom Furniture & Storage,https://images.unsplash.com/photo-1712215282898-0284acc325fc?q=80&w=1525&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Rattan Laundry Basket,A large oval rattan laundry basket with a removable cotton liner and lid.,124.99,13,Bathroom Furniture & Storage,https://images.unsplash.com/photo-1730712923526-dc7043c6de96?q=80&w=1035&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Standing Desk,A height-adjustable electric standing desk in white. Switches between sit and stand.,949.99,4,Desk & Desk Chairs,https://images.unsplash.com/photo-1622126756000-9fb7f6ed9f06?q=80&w=1770&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Drafting Table,A classic artist drafting table with adjustable angle top and built-in ruler.,579.99,5,Desk & Desk Chairs,https://camposironworks.com/cdn/shop/files/P1018257.jpg?v=1690417365&width=1646
L-Shaped Corner Desk,An L-shaped corner desk in natural oak veneer with built-in cable management.,529.99,9,Desk & Desk Chairs,https://tribesigns.com/cdn/shop/files/67-l-shaped-desk-industrial-reversible-computer-corner-desk-213127.jpg?v=1728984531&width=1300
Floating Wall Desk,A compact fold-down wall-mounted desk in natural pine. Perfect for small spaces.,269.99,4,Desk & Desk Chairs,https://images.unsplash.com/photo-1651052103405-463df24fe36c?q=80&w=1180&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Leather Executive Chair,A classic leather executive desk chair with padded armrests and lumbar support.,729.99,2,Desk & Desk Chairs,https://images.unsplash.com/photo-1764410481612-7544525b2991?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
